model,horizon,test_year,y_true,y_pred,train_time_s,peak_memory_mb
RandomForest,4,2019,8.935340611677379,7.286155724820306,1.5831055641174316,0.402586
RandomForest,4,2020,6.962318260153343,7.298663412725728,1.7207927703857422,0.40618
RandomForest,4,2021,7.812622033977193,7.349173762713267,1.7626490592956543,0.401848
RandomForest,4,2022,8.570540370269171,7.11289231176718,1.73079514503479,0.407203
RandomForest,4,2023,8.1,7.296295007281763,1.682837963104248,0.409666
RandomForest,4,2024,7.281128211789584,7.318295458928193,1.9456827640533447,0.413868
XGBoost,1,2001,7.08,6.77207612991333,1.9271578788757324,0.401012
XGBoost,1,2002,8.0,6.650509834289551,1.6572980880737305,0.392878
XGBoost,1,2003,7.78,6.675016403198242,1.8036203384399414,0.390266
XGBoost,1,2004,7.77,7.71785306930542,1.797114610671997,0.390967
XGBoost,1,2005,7.96,6.455516815185547,1.7312207221984863,0.389676
XGBoost,1,2006,8.03864910059748,7.331437587738037,1.652681827545166,0.392105
XGBoost,1,2007,7.234262738177594,6.718085289001465,1.5611224174499512,0.390751
XGBoost,1,2008,8.281402712725113,6.504487037658691,1.5124046802520752,0.395092
XGBoost,1,2009,7.927665247495372,7.012813568115234,1.4625513553619385,0.395427
XGBoost,1,2010,7.7,7.547749996185303,1.478100299835205,0.377622
XGBoost,1,2011,7.7,7.977367401123047,1.3659982681274414,0.39652
XGBoost,1,2012,6.662665686341732,6.758859157562256,1.491682767868042,0.399137
XGBoost,1,2013,7.383846462514578,7.774765968322754,1.44972825050354,0.402233
XGBoost,1,2014,8.57865036450464,6.584613800048828,1.4833900928497314,0.403169
XGBoost,1,2015,8.974580086118658,6.964383602142334,1.3692171573638916,0.388864
XGBoost,1,2016,7.888437070186669,8.02634048461914,1.32496976852417,0.403629
XGBoost,1,2017,8.280339577079515,6.787601470947266,1.4544763565063477,0.402484
XGBoost,1,2018,7.755935639187829,7.675858497619629,1.4900751113891602,0.40633
XGBoost,1,2019,8.935340611677379,6.4366374015808105,1.4252851009368896,0.409998
XGBoost,1,2020,6.962318260153343,6.90081262588501,1.3897042274475098,0.39529
XGBoost,1,2021,7.812622033977193,6.81273889541626,1.623445987701416,0.412254
XGBoost,1,2022,8.570540370269171,7.520105361938477,1.3927481174468994,0.413015
XGBoost,1,2023,8.1,6.653326034545898,1.2128524780273438,0.415917
XGBoost,1,2024,7.281128211789584,7.470764636993408,1.1906781196594238,0.416312
XGBoost,2,2002,8.0,6.844767093658447,1.8207192420959473,0.368176
XGBoost,2,2003,7.78,6.980808258056641,1.6640057563781738,0.386795
XGBoost,2,2004,7.77,6.776927947998047,1.763509750366211,0.385105
XGBoost,2,2005,7.96,6.938992023468018,1.764580249786377,0.387295
XGBoost,2,2006,8.03864910059748,6.506832122802734,1.712597370147705,0.387759
XGBoost,2,2007,7.234262738177594,6.787586212158203,1.3296334743499756,0.388616
XGBoost,2,2008,8.281402712725113,6.590287208557129,1.4968371391296387,0.379152
XGBoost,2,2009,7.927665247495372,6.442760467529297,1.5058410167694092,0.391634
XGBoost,2,2010,7.7,6.652225017547607,1.4378798007965088,0.3943
XGBoost,2,2011,7.7,6.7881245613098145,1.4620351791381836,0.396417
XGBoost,2,2012,6.662665686341732,7.111205577850342,1.3416318893432617,0.397181
XGBoost,2,2013,7.383846462514578,6.747277736663818,1.474578619003296,0.395795
XGBoost,2,2014,8.57865036450464,7.055604457855225,1.448077917098999,0.387417
XGBoost,2,2015,8.974580086118658,6.8382182121276855,1.4780151844024658,0.400924
XGBoost,2,2016,7.888437070186669,7.2087836265563965,1.3546485900878906,0.400403
XGBoost,2,2017,8.280339577079515,7.653110980987549,1.254091501235962,0.403253
XGBoost,2,2018,7.755935639187829,7.034309387207031,1.4417991638183594,0.404803
XGBoost,2,2019,8.935340611677379,7.122353553771973,1.388551950454712,0.406856
XGBoost,2,2020,6.962318260153343,7.01311731338501,1.4057881832122803,0.39842
XGBoost,2,2021,7.812622033977193,6.885492324829102,1.373847246170044,0.40996
XGBoost,2,2022,8.570540370269171,7.0950927734375,1.5773355960845947,0.41024
XGBoost,2,2023,8.1,7.118152618408203,1.4065861701965332,0.412624
XGBoost,2,2024,7.281128211789584,7.070690631866455,1.1889221668243408,0.412003
XGBoost,3,2003,7.78,6.755214214324951,1.7786533832550049,0.382691
XGBoost,3,2004,7.77,6.645534992218018,1.654449224472046,0.375996
XGBoost,3,2005,7.96,6.7530622482299805,1.778221845626831,0.386907
XGBoost,3,2006,8.03864910059748,6.868338108062744,1.782710313796997,0.385384
XGBoost,3,2007,7.234262738177594,6.506832122802734,1.7125918865203857,0.387227
XGBoost,3,2008,8.281402712725113,6.525235652923584,1.3146231174468994,0.388719
XGBoost,3,2009,7.927665247495372,6.590005874633789,1.4563889503479004,0.391108
XGBoost,3,2010,7.7,6.4606428146362305,1.3899943828582764,0.391615
XGBoost,3,2011,7.7,6.4139556884765625,1.4596149921417236,0.393892
XGBoost,3,2012,6.662665686341732,6.787400245666504,1.462982416152954,0.395334
XGBoost,3,2013,7.383846462514578,6.764219284057617,1.350836992263794,0.394792
XGBoost,3,2014,8.57865036450464,6.739031791687012,1.497511386871338,0.398145
XGBoost,3,2015,8.974580086118658,7.26999044418335,1.436044692993164,0.3996
XGBoost,3,2016,7.888437070186669,6.524637699127197,1.4731128215789795,0.402762
XGBoost,3,2017,8.280339577079515,6.69149923324585,1.3670578002929688,0.40241
XGBoost,3,2018,7.755935639187829,7.141873359680176,1.2605865001678467,0.395136
XGBoost,3,2019,8.935340611677379,7.171629905700684,1.4477181434631348,0.40891
XGBoost,3,2020,6.962318260153343,7.164083480834961,1.476980447769165,0.407551
XGBoost,3,2021,7.812622033977193,6.719758033752441,1.4198651313781738,0.407786
XGBoost,3,2022,8.570540370269171,6.77897834777832,1.378847599029541,0.408339
XGBoost,3,2023,8.1,7.0723490715026855,1.603461742401123,0.41065
XGBoost,3,2024,7.281128211789584,7.092370510101318,1.367851972579956,0.401578
XGBoost,4,2004,7.77,6.827905178070068,1.7707197666168213,0.382842
XGBoost,4,2005,7.96,6.973977565765381,1.5984458923339844,0.381721
XGBoost,4,2006,8.03864910059748,6.776725769042969,1.7458903789520264,0.385502
XGBoost,4,2007,7.234262738177594,6.839737415313721,1.7636444568634033,0.386358
XGBoost,4,2008,8.281402712725113,6.506832122802734,1.68843674659729,0.387733
XGBoost,4,2009,7.927665247495372,6.525235652923584,1.332557201385498,0.382471
XGBoost,4,2010,7.7,6.5925092697143555,1.477745771408081,0.392257
XGBoost,4,2011,7.7,6.460113525390625,1.422224760055542,0.393566
XGBoost,4,2012,6.662665686341732,6.444352149963379,1.4513263702392578,0.393508
XGBoost,4,2013,7.383846462514578,6.73076057434082,1.4642910957336426,0.394379
XGBoost,4,2014,8.57865036450464,6.764219284057617,1.3782033920288086,0.395728
XGBoost,4,2015,8.974580086118658,6.739031791687012,1.4805095195770264,0.386287
