year,month,rainfall
1933,7,77.6
1933,8,58.0
1933,9,47.1
1933,10,116.4
1933,11,57.3
1933,12,33.5
1934,1,113.8
1934,2,23.1
1934,3,80.6
1934,4,96.0
1934,5,64.2
1934,6,48.9
1934,7,66.0
1934,8,103.9
1934,9,100.3
1934,10,130.2
1934,11,58.0
1934,12,177.0
1935,1,64.2
1935,2,121.0
1935,3,44.0
1935,4,98.8
1935,5,33.1
1935,6,101.5
1935,7,39.0
1935,8,73.5
1935,9,150.4
1935,10,171.0
1935,11,143.5
1935,12,93.6
1936,1,124.7
1936,2,73.4
1936,3,65.5
1936,4,47.3
1936,5,37.2
1936,6,79.9
1936,7,142.7
1936,8,53.4
1936,9,98.4
1936,10,94.2
1936,11,106.3
1936,12,130.8
1937,1,151.7
1937,2,135.2
1937,3,80.8
1937,4,69.1
1937,5,67.2
1937,6,56.4
1937,7,84.8
1937,8,61.6
1937,9,74.9
1937,10,82.9
1937,11,46.2
1937,12,90.6
1938,1,145.4
1938,2,58.6
1938,3,59.7
1938,4,14.4
1938,5,81.7
1938,6,94.3
1938,7,109.0
1938,8,84.0
1938,9,80.0
1938,10,171.6
1938,11,160.4
1938,12,117.8
1939,1,143.8
1939,2,94.7
1939,3,79.1
1939,4,66.2
1939,5,32.9
1939,6,63.5
1939,7,143.5
1939,8,68.2
1939,9,47.1
1939,10,103.5
1939,11,171.1
1939,12,70.7
1940,1,65.2
1940,2,69.6
1940,3,92.1
1940,4,71.5
1940,5,43.3
1940,6,27.8
1940,7,130.6
1940,8,40.0
1940,9,73.1
1940,10,122.6
1940,11,187.9
1940,12,106.1
1941,1,73.6
1941,2,105.1
1941,3,81.2
1941,4,48.6
1941,5,63.9
1941,6,31.0
1941,7,81.3
1941,8,131.8
1941,9,33.0
1941,10,107.5
1941,11,105.4
1941,12,74.4
1942,1,122.1
1942,2,45.4
1942,3,66.6
1942,4,49.6
1942,5,95.5
1942,6,31.6
1942,7,90.2
1942,8,108.8
1942,9,102.8
1942,10,126.4
1942,11,45.3
1942,12,135.5
1943,1,146.7
1943,2,83.2
1943,3,44.5
1943,4,65.7
1943,5,90.6
1943,6,77.5
1943,7,66.1
1943,8,115.8
1943,9,98.2
1943,10,127.3
1943,11,87.4
1943,12,64.2
1944,1,116.5
1944,2,52.5
1944,3,28.5
1944,4,64.2
1944,5,61.0
1944,6,82.8
1944,7,73.5
1944,8,81.3
1944,9,116.4
1944,10,132.1
1944,11,162.6
1944,12,105.2
1945,1,96.9
1945,2,110.6
1945,3,55.2
1945,4,51.1
1945,5,94.4
1945,6,95.1
1945,7,77.7
1945,8,70.9
1945,9,92.5
1945,10,115.5
1945,11,22.3
1945,12,115.3
1946,1,113.1
1946,2,97.1
1946,3,50.6
1946,4,49.4
1946,5,59.1
1946,6,94.3
1946,7,100.4
1946,8,131.9
1946,9,146.5
1946,10,31.4
1946,11,161.4
1946,12,112.2
1947,1,98.6
1947,2,43.4
1947,3,138.8
1947,4,117.6
1947,5,70.4
1947,6,80.1
1947,7,82.3
1947,8,9.9
1947,9,86.1
1947,10,40.2
1947,11,124.4
1947,12,81.9
1948,1,177.4
1948,2,76.3
1948,3,64.3
1948,4,67.6
1948,5,65.4
1948,6,106.6
1948,7,68.0
1948,8,136.7
1948,9,107.9
1948,10,106.8
1948,11,77.2
1948,12,138.8
1949,1,89.8
1949,2,77.4
1949,3,56.6
1949,4,91.1
1949,5,67.5
1949,6,27.8
1949,7,57.4
1949,8,83.9
1949,9,57.8
1949,10,153.7
1949,11,124.2
1949,12,143.7
1950,1,65.5
1950,2,137.4
1950,3,62.3
1950,4,95.0
1950,5,49.6
1950,6,62.1
1950,7,114.2
1950,8,132.2
1950,9,178.5
1950,10,78.3
1950,11,136.0
1950,12,77.0
1951,1,112.6
1951,2,108.6
1951,3,104.5
1951,4,87.4
1951,5,64.8
1951,6,44.3
1951,7,72.0
1951,8,134.0
1951,9,86.1
1951,10,40.5
1951,11,191.7
1951,12,138.9
1952,1,105.5
1952,2,40.9
1952,3,81.0
1952,4,60.0
1952,5,65.4
1952,6,69.9
1952,7,51.4
1952,8,114.3
1952,9,91.3
1952,10,120.4
1952,11,93.3
1952,12,107.5
1953,1,52.2
1953,2,60.4
1953,3,34.1
1953,4,80.1
1953,5,68.1
1953,6,61.8
1953,7,117.9
1953,8,93.8
1953,9,102.9
1953,10,77.8
1953,11,117.4
1953,12,72.9
1954,1,85.8
1954,2,92.3
1954,3,84.7
1954,4,28.9
1954,5,93.0
1954,6,94.2
1954,7,96.7
1954,8,117.3
1954,9,118.9
1954,10,166.7
1954,11,180.6
1954,12,138.5
1955,1,85.7
1955,2,73.0
1955,3,52.2
1955,4,49.2
1955,5,97.8
1955,6,82.1
1955,7,29.3
1955,8,30.7
1955,9,79.4
1955,10,95.0
1955,11,64.0
1955,12,143.6
1956,1,117.5
1956,2,41.5
1956,3,44.9
1956,4,45.8
1956,5,44.5
1956,6,76.0
1956,7,119.7
1956,8,158.5
1956,9,102.3
1956,10,80.1
1956,11,57.4
1956,12,137.1
1957,1,118.1
1957,2,97.2
1957,3,89.9
1957,4,27.5
1957,5,51.4
1957,6,56.9
1957,7,120.8
1957,8,121.9
1957,9,119.9
1957,10,103.0
1957,11,65.3
1957,12,117.3
1958,1,112.4
1958,2,114.4
1958,3,50.6
1958,4,43.5
1958,5,93.8
1958,6,98.9
1958,7,103.5
1958,8,108.0
1958,9,117.2
1958,10,101.4
1958,11,54.2
1958,12,117.0
1959,1,100.7
1959,2,26.2
1959,3,74.6
1959,4,90.9
1959,5,33.3
1959,6,62.0
1959,7,91.8
1959,8,44.6
1959,9,23.3
1959,10,117.6
1959,11,143.8
1959,12,177.9
1960,1,123.4
1960,2,98.1
1960,3,50.4
1960,4,72.2
1960,5,48.5
1960,6,60.7
1960,7,111.5
1960,8,116.4
1960,9,100.8
1960,10,147.5
1960,11,149.2
1960,12,125.9
1961,1,118.1
1961,2,95.4
1961,3,43.3
1961,4,99.9
1961,5,47.0
1961,6,52.4
1961,7,84.8
1961,8,109.1
1961,9,104.1
1961,10,144.9
1961,11,80.7
1961,12,102.3
1962,1,151.5
1962,2,71.6
1962,3,50.9
1962,4,71.7
1962,5,74.3
1962,6,42.9
1962,7,64.9
1962,8,142.7
1962,9,123.0
1962,10,54.3
1962,11,78.5
1962,12,104.5
1963,1,32.6
