model,horizon,test_year,y_true,y_pred,pi_lower,pi_upper,pi_width,covered
Prophet,4,2019,8.935340611677379,8.615856034037623,7.704516655128215,9.426465821329806,1.7219491662015916,True
Prophet,1,2017,8.280339577079515,8.078368763116334,7.154316412554251,8.899317908307486,1.7450014957532352,True
Prophet,2,2018,7.755935639187829,8.627233037607818,7.752902734194601,9.49857633195978,1.7456735977651778,True
Prophet,3,2019,8.935340611677379,8.515094772151519,7.678197235531472,9.337756654887457,1.6595594193559853,True
Prophet,4,2020,6.962318260153343,8.632046389335926,7.74106859023953,9.561130664775684,1.820062074536153,False
Prophet,1,2018,7.755935639187829,8.604018526125122,7.731944844693351,9.458339355342346,1.726394510648995,True
Prophet,2,2019,8.935340611677379,8.522312638706634,7.664445281970327,9.387004837171125,1.722559555200796,True
Prophet,3,2020,6.962318260153343,8.561873980767404,7.700875317708621,9.405503083934851,1.7046277662262304,False
Prophet,4,2021,7.812622033977193,8.616920180022385,7.770347159719819,9.488665746171362,1.7183185864515431,True
Prophet,1,2019,8.935340611677379,7.947038720612732,7.1645952491393246,8.721504530109561,1.5569092809702365,False
Prophet,2,2020,6.962318260153343,7.997071297826856,7.18653328765634,8.789170906211085,1.6026376185547455,False
Prophet,3,2021,7.812622033977193,8.222028580064833,7.475734327632814,8.984682808111124,1.5089484804783098,True
Prophet,4,2022,8.570540370269171,8.229667367142374,7.4678068251277185,9.004287984293242,1.5364811591655236,True
Prophet,1,2020,6.962318260153343,8.438605757565934,7.621254478097514,9.32150032419728,1.7002458460997651,False
Prophet,2,2021,7.812622033977193,8.556169094553592,7.702938287066171,9.43720174051187,1.734263453445699,True
Prophet,3,2022,8.570540370269171,8.610906062451827,7.767582915983684,9.3536146282938,1.5860317123101169,True
Prophet,4,2023,8.1,8.656145184348693,7.810589430587923,9.57040853167675,1.7598191010888264,True
Prophet,1,2021,7.812622033977193,7.743787133261364,6.909955474543078,8.590804394826892,1.6808489202838135,True
Prophet,2,2022,8.570540370269171,8.168725618442423,7.272991738859221,8.974592986345765,1.7016012474865445,True
Prophet,3,2023,8.1,8.322673848005794,7.496914925877887,9.164634077985744,1.6677191521078587,True
Prophet,4,2024,7.281128211789584,8.358170249242088,7.530876188341456,9.15643820242978,1.625562014088325,False
Prophet,1,2022,8.570540370269171,8.230645526969493,7.35694899099619,9.017717054683644,1.6607680636874536,True
Prophet,2,2023,8.1,8.285052053651716,7.3873344321202685,9.108799518411749,1.7214650862914782,True
Prophet,3,2024,7.281128211789584,8.257113988965457,7.436496998300774,9.126285023853956,1.6897880255531827,False
Prophet,1,2023,8.1,8.596363476960349,7.786432820373241,9.420624712914714,1.6341918925414731,True
Prophet,2,2024,7.281128211789584,8.243049724674044,7.412400696279067,9.063912371689804,1.6515116754107373,False
Prophet,1,2024,7.281128211789584,8.415169489314774,7.635058677952863,9.301969303447931,1.6669106254950703,False
