model,horizon,test_year,y_true,y_pred,pi_lower,pi_upper,pi_width,interval_score,covered
ARIMA,1,2017,8.280339577079515,8.03920889798535,6.923195630065071,9.15522216590563,2.2320265358405598,2.232,True
ARIMA,2,2018,7.755935639187829,8.001849688096797,6.812441341299545,9.19125803489405,2.378816693594505,2.3788,True
ARIMA,3,2019,8.935340611677379,7.966210155255083,6.713740641270078,9.218679669240087,2.504939027970009,2.5049,True
ARIMA,4,2020,6.962318260153343,7.932211141224416,6.624993694382164,9.239428588066668,2.6144348936845034,2.6144,True
ARIMA,1,2018,7.755935639187829,8.10276986083411,6.999984546141635,9.205555175526586,2.205570629384951,2.2056,True
ARIMA,2,2019,8.935340611677379,8.065992198515755,6.887793838351817,9.244190558679692,2.3563967203278757,2.3564,True
ARIMA,3,2020,6.962318260153343,8.030802905980599,6.787569237498446,9.27403657446275,2.4864673369643038,2.4865,True
ARIMA,4,2021,7.812622033977193,7.997133384018976,6.6972104013292295,9.297056366708723,2.599845965379494,2.5998,True
ARIMA,1,2019,8.935340611677379,7.924921629161279,6.830002905547455,9.019840352775104,2.1898374472276485,2.1898,True
ARIMA,2,2020,6.962318260153343,7.891792818300892,6.7252118827570415,9.05837375384474,2.3331618710876993,2.3332,True
ARIMA,3,2021,7.812622033977193,7.860217527926719,6.632157238833569,9.088277817019868,2.456120578186299,2.4561,True
ARIMA,4,2022,8.570540370269171,7.83012290827934,6.5487683759494,9.11147744060928,2.562709064659879,2.5627,True
ARIMA,1,2020,6.962318260153343,8.285173559563423,7.164768727838423,9.405578391288424,2.240809663450001,10.3388,False
ARIMA,2,2021,7.812622033977193,8.254070149685077,7.065477962986202,9.442662336383952,2.37718437339775,2.3772,True
ARIMA,3,2022,8.570540370269171,8.223965533378149,6.974867290023764,9.473063776732532,2.4981964867087685,2.4982,True
ARIMA,4,2023,8.1,8.194827637355424,6.891592884262776,9.498062390448071,2.606469506185295,2.6065,True
ARIMA,1,2021,7.812622033977193,7.778473637985349,6.599522944414179,8.957424331556519,2.3579013871423395,2.3579,True
ARIMA,2,2022,8.570540370269171,7.75389013533705,6.520827643125168,8.986952627548932,2.4661249844237645,2.4661,True
ARIMA,3,2023,8.1,7.730367145803312,6.4497643760701955,9.010969915536428,2.5612055394662328,2.5612,True
ARIMA,4,2024,7.281128211789584,7.707858919676198,6.385226739484035,9.030491099868362,2.645264360384327,2.6453,True
ARIMA,1,2022,8.570540370269171,7.767407019892437,6.602797261261049,8.932016778523826,2.3292195172627768,2.3292,True
ARIMA,2,2023,8.1,7.744054829914147,6.526347021317506,8.96176263851079,2.435415617193283,2.4354,True
ARIMA,3,2024,7.281128211789584,7.721680024420372,6.457187425279133,8.986172623561611,2.528985198282478,2.529,True
ARIMA,1,2023,8.1,8.007426972975109,6.835018220610053,9.179835725340165,2.3448175047301127,2.3448,True
ARIMA,2,2024,7.281128211789584,7.9843217310697545,6.763473434295754,9.205170027843755,2.4416965935480004,2.4417,True
ARIMA,1,2024,7.281128211789584,8.014552683161751,6.855649748336632,9.173455617986871,2.317805869650239,2.3178,True
SARIMA,1,2001,7.08,7.668607579908399,6.569037602761599,8.7681775570552,2.199139954293601,2.1991,True
SARIMA,2,2002,8.0,7.4408406323487295,6.119014610779091,8.762666653918368,2.6436520431392765,2.6437,True
